x1 x2 grp
-2.353 0.925 1
0.012 0.861 1
-0.343 0.095 1
-1.432 -1.049 1
-0.812 0.644 1
-1.197 -0.999 1
-0.769 1.036 1
-1.058 1.09 1
0.084 0.668 1
-0.929 0.778 1
-1.1 -0.898 1
-1.294 0.798 1
-0.963 -0.46 1
-1.298 0.382 1
-1.362 0.719 1
-1.318 0.319 1
-1.494 1.125 1
-1.367 0.432 1
-1.088 1.054 1
-0.527 0.455 1
-1.512 -1.043 1
-1.186 2.308 1
-1.571 -0.111 1
-0.996 0.984 1
-0.885 0.519 1
-0.973 0.881 1
-0.835 -0.345 1
-1.303 -0.374 1
-1.464 -0.18 1
-1.003 0.132 1
-1.402 0.562 1
-1.267 0.849 1
-1.276 0.099 1
-1.071 1.02 1
-1.412 0.262 1
-0.857 0.337 1
-0.148 0.774 1
-1.187 0.244 1
-1.642 2.244 1
-1.642 2.244 1
-1.392 0.601 1
-1.447 0.063 1
-0.649 0.402 1
-1.895 1.796 1
-1.756 -0.7 1
-0.824 -0.22 1
-0.966 0.421 1
-1.983 0.915 1
-2.45 1.392 1
-0.768 -0.513 1
-2.401 1.34 1
-0.838 0.353 1
-0.092 0.683 1
-0.598 -0.547 1
-0.358 0.012 1
-1.017 -0.254 1
-1.743 -1.346 1
-1.482 -0.915 1
-0.459 1.737 1
-0.843 0.745 1
-1.165 1.183 1
-0.079 1.441 1
-2.178 0.6 1
-1.844 0.823 1
-1.879 1.315 1
-1.418 0.707 1
-2.475 0.725 1
-2.28 1.349 1
-2.222 0.75 1
-2.042 1.731 1
0.55 -0.914 2
-1.476 -1.279 2
-0.57 -0.027 2
-0.268 0.169 2
-0.478 0.161 2
-0.517 0.407 2
-0.637 -1.079 2
-1.147 -1.33 2
-0.152 1.004 2
-0.544 -1.009 2
-0.221 -1.053 2
-0.448 -0.019 2
-0.582 0.214 2
-0.669 -0.52 2
2.268 -0.98 2
-0.665 0.086 2
-0.538 0.675 2
-0.322 -0.246 2
-1.132 -1.249 2
-0.719 -0.41 2
-2.118 -0.857 2
-1.435 -1.283 2
-0.97 0.42 2
-0.631 -0.063 2
-0.944 -0.587 2
-1.097 -1.474 2
-1.696 0.094 2
-2.05 -0.533 2
-0.315 -1.08 2
-0.358 -0.173 2
-0.562 -0.347 2
-1.263 -2.695 2
-1.555 0.761 2
-2.108 0.566 2
-0.938 0.259 2
-0.294 -4.961 2
1.989 -2.541 2
-1.701 -3.084 2
2.241 -1.12 2
1.506 0.382 2
-1.836 -0.429 2
-2.316 -0.998 2
-0.744 -1.175 2
-0.901 0.664 2
-1.752 -0.145 2
-1.138 0.161 2
-1.373 -0.442 2
0.016 -0.798 2
-0.898 -1.108 2
-0.561 -1.036 2
-1.275 -0.379 2
-0.916 -0.857 2
-0.722 -0.313 2
-0.066 -0.506 2
-1.214 0.636 2
-1.225 -0.495 2
-1.519 -0.312 2
0.449 -0.872 2
1.143 -0.73 2
1.216 -2.452 2
1.196 -1.339 2
1.468 -1.536 2
-1.22 0.471 2
-0.889 -0.77 2
-1.04 0.727 2
-1.689 -0.587 2
-1.454 1.114 2
-0.988 -0.401 2
-0.82 -0.19 2
-0.617 0.059 2
-0.34 -0.373 2
-1.209 0.518 2
-1.002 -0.286 2
-0.42 -0.561 2
-1.071 -0.271 2
-1.988 -1.137 2
3.716 0.462 3
4.572 0.199 3
-0.674 0.06 3
2.404 -2.046 3
4.834 1.67 3
2.668 1.324 3
5.816 -0.505 3
5.318 -1.306 3
6.318 0.755 3
6.191 1.032 3
5.467 -0.772 3
5.256 -0.401 3
5.659 -0.316 3
5.531 -1.147 3
6.132 -0.471 3
6.113 -0.305 3
3.79 -1.246 3
6.046 -0.167 3
6.602 1.016 3
5.878 -0.296 3
6.308 1.107 3
6.318 1.29 3
8.832 0.886 3
5.396 -1.199 3
5.937 -1.061 3
6.681 1.284 3
6.1 0.888 3
6.17 1.593 3
6.134 1.222 3
