x1 x2 x3 x4
1.946 1.163 1.548 0.336
1.856 1.163 1.504 0.405
1.932 1.131 1.589 0.405
1.705 0.833 1.386 0.262
1.872 1.03 1.526 0.405
1.74 1.03 1.504 0.262
1.841 1.194 1.548 0.47
1.589 0.875 1.194 0
1.887 1.065 1.526 0.262
1.649 0.993 1.361 0.336
1.609 0.693 1.253 0
1.775 1.099 1.435 0.405
1.792 0.788 1.386 0
1.808 1.065 1.548 0.336
1.723 1.065 1.281 0.262
1.902 1.131 1.482 0.336
1.723 1.099 1.504 0.405
1.758 0.993 1.411 0
1.825 0.788 1.504 0.405
1.723 0.916 1.361 0.095
1.775 1.163 1.569 0.588
1.808 1.03 1.386 0.262
1.841 0.916 1.589 0.405
1.808 1.03 1.548 0.182
1.856 1.065 1.459 0.262
1.887 1.099 1.482 0.336
1.917 1.03 1.569 0.336
1.902 1.099 1.609 0.531
1.792 1.065 1.504 0.405
1.74 0.956 1.253 0
